Name;R1;R2;R3;R4
Iso_5ppm_100SCCM_200C;807238.42;12112.82;7951.76;8943.78
Iso_5ppm_100SCCM_200C;808201.40;12121.52;7956.63;8951.03
Iso_5ppm_100SCCM_200C;810227.34;12153.10;7973.70;8970.41
Iso_5ppm_100SCCM_200C;811460.52;12160.24;7977.39;8974.95
Iso_5ppm_100SCCM_200C;811846.92;12163.53;7978.52;8976.15
Iso_5ppm_100SCCM_200C;811897.91;12163.43;7978.52;8974.69
Iso_5ppm_100SCCM_200C;812254.96;12166.63;7979.88;8976.41
Ace_5ppm_100SCCM_200C;557124.10;8314.54;5742.68;6632.45
Ace_5ppm_100SCCM_200C;743757.66;11391.87;7658.73;8695.25
Ace_5ppm_100SCCM_200C;838409.33;12549.46;8274.01;9340.26
Ace_5ppm_100SCCM_200C;866093.70;12865.18;8444.19;9529.67
Ace_5ppm_100SCCM_200C;880565.52;13037.08;8533.51;9629.63
Ace_5ppm_100SCCM_200C;890474.03;13149.12;8594.42;9698.01
Ace_5ppm_100SCCM_200C;897817.19;13231.09;8637.33;9746.45
Ace_5ppm_100SCCM_200C;903064.04;13296.91;8671.76;9785.70
Ace_5ppm_100SCCM_200C;907546.31;13349.60;8701.33;9817.99
Ace_5ppm_100SCCM_200C;911141.28;13396.81;8724.52;9847.19
Ace_5ppm_100SCCM_200C;914244.66;13435.03;8744.41;9869.87
Ace_5ppm_100SCCM_200C;916805.47;13459.98;8757.42;9883.67
Ace_5ppm_100SCCM_200C;918977.67;13480.09;8768.18;9897.79
Ace_5ppm_100SCCM_200C;921239.50;13496.68;8776.86;9906.23
Ace_5ppm_100SCCM_200C;922049.81;13512.32;8783.25;9914.36
Ace_5ppm_100SCCM_200C;922897.22;13519.62;8788.10;9920.01
Ace_5ppm_100SCCM_200C;923762.69;13537.84;8796.94;9929.91
Ace_5ppm_100SCCM_200C;925004.66;13539.03;8795.97;9930.48
Ace_5ppm_100SCCM_200C;926637.22;13552.92;8804.68;9938.02
Ace_5ppm_100SCCM_200C;926440.79;13548.37;8800.93;9933.69
Ace_5ppm_100SCCM_200C;926078.57;13543.16;8796.94;9929.50
Ace_5ppm_100SCCM_200C;927027.57;13557.84;8806.73;9940.44
Ace_5ppm_100SCCM_200C;847778.28;12624.25;8302.68;9389.47
Ace_5ppm_100SCCM_200C;872503.53;12908.81;8458.32;9560.65
Ace_5ppm_100SCCM_200C;884604.72;13061.94;8536.30;9648.92
Ace_5ppm_100SCCM_200C;893579.50;13160.21;8588.54;9706.45
Ace_5ppm_100SCCM_200C;899248.25;13227.14;8624.39;9746.79
Ace_5ppm_100SCCM_200C;903390.06;13280.18;8652.87;9777.13
Ace_5ppm_100SCCM_200C;906864.64;13321.18;8674.86;9801.31
Ace_5ppm_100SCCM_200C;909637.48;13354.20;8692.48;9820.32
Ace_5ppm_100SCCM_200C;912580.28;13378.44;8706.45;9836.08
Ace_5ppm_100SCCM_200C;914053.44;13400.57;8715.75;9847.56
Ace_5ppm_100SCCM_200C;915642.14;13421.61;8724.59;9858.73
Ace_5ppm_100SCCM_200C;917561.85;13435.26;8735.08;9868.20
Ace_5ppm_100SCCM_200C;918251.55;13447.14;8740.20;9875.39
Ace_5ppm_100SCCM_200C;919465.11;13461.55;8747.47;9882.03
Ace_5ppm_100SCCM_200C;920026.72;13470.55;8750.53;9887.60
Ace_5ppm_100SCCM_200C;921258.65;13479.39;8755.12;9890.82
Ace_5ppm_100SCCM_200C;921723.87;13489.00;8759.74;9898.77
Ace_5ppm_100SCCM_200C;922636.52;13497.33;8765.23;9901.87
Ace_5ppm_100SCCM_200C;923331.13;13502.97;8766.97;9904.05
Ace_5ppm_100SCCM_200C;874051.90;12765.21;8332.53;9368.83
Ace_5ppm_100SCCM_200C;855883.30;12473.18;8158.81;9216.25
